rev,workload,condition,sample,echoes,payload,cpu_ns,slices,vcsw,nvcsw,threads
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p297822,discovery,6,100,297822,98073255,7348,7289,60,127
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p297822,discovery,7,100,297822,96130729,7383,7323,60,127
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p297822,discovery,8,100,297822,97553774,7212,7157,56,109
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p297822,discovery,9,100,297822,98299703,7427,7386,41,127
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p297822,discovery,10,100,297822,0,1587,1577,9,109
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p1550274,discovery,0,100,1550274,448038087,41162,40950,214,19
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p1550274,discovery,1,100,1550274,453734541,41634,41459,177,37
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p1550274,discovery,2,100,1550274,24263577,9223,9216,8,37
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p1550274,discovery,3,100,1550274,17305146,8463,8379,82,37
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p1550274,discovery,4,100,1550274,22796724,8129,8129,0,37
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p1550274,discovery,5,100,1550274,22544933,8403,8452,0,37
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p1550274,discovery,6,100,1550274,17367747,8231,8228,4,37
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p1550274,discovery,7,100,1550274,25506281,8674,8607,65,37
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p1550274,discovery,8,100,1550274,21754997,9020,9024,0,37
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p1550274,discovery,9,100,1550274,17905382,9373,9410,0,37
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p1550274,discovery,10,100,1550274,19990229,8102,8033,71,37
